transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,day_of_week,is_weekend
TXN0000000001,08-10-2024 15:17,P2P,Entertainment,868,SUCCESS,Delhi,Axis,SBI,Android,4G,15,Tuesday,0
TXN0000000002,11-04-2024 06:56,P2M,Grocery,1011,SUCCESS,Uttar Pradesh,ICICI,Axis,iOS,4G,6,Thursday,0
TXN0000000003,02-04-2024 13:27,P2P,Grocery,477,SUCCESS,Karnataka,Yes Bank,PNB,Android,4G,13,Tuesday,0
TXN0000000004,07-01-2024 10:09,P2P,Fuel,2784,SUCCESS,Delhi,ICICI,PNB,Android,5G,10,Sunday,1
TXN0000000005,23-01-2024 19:04,P2P,Shopping,990,SUCCESS,Delhi,Axis,Yes Bank,iOS,WiFi,19,Tuesday,0
TXN0000000006,07-10-2024 22:32,P2P,Food,91,SUCCESS,Karnataka,IndusInd,Yes Bank,Android,3G,22,Monday,0
TXN0000000007,08-02-2024 10:25,P2P,Other,314,SUCCESS,Telangana,HDFC,IndusInd,Android,4G,10,Thursday,0
TXN0000000008,27-10-2024 18:47,P2P,Utilities,264,SUCCESS,Maharashtra,Yes Bank,SBI,Android,5G,18,Sunday,1
TXN0000000009,21-11-2024 09:39,P2P,Other,887,SUCCESS,Maharashtra,Kotak,HDFC,Android,4G,9,Thursday,0
TXN0000000010,11-11-2024 15:58,P2M,Grocery,3260,SUCCESS,Delhi,SBI,HDFC,Android,4G,15,Monday,0
TXN0000000011,07-04-2024 20:14,P2P,Food,587,SUCCESS,Karnataka,SBI,SBI,Android,4G,20,Sunday,1
TXN0000000012,24-12-2024 10:44,P2M,Other,518,SUCCESS,Gujarat,Yes Bank,SBI,Android,4G,10,Tuesday,0
TXN0000000013,16-11-2024 20:09,P2P,Transport,73,SUCCESS,Uttar Pradesh,Axis,Kotak,Android,4G,20,Saturday,1
TXN0000000014,10-04-2024 00:51,Bill Payment,Grocery,430,SUCCESS,Gujarat,Yes Bank,Yes Bank,Android,4G,0,Wednesday,0
TXN0000000015,03-02-2024 12:35,P2P,Transport,544,SUCCESS,Uttar Pradesh,IndusInd,Axis,Android,5G,12,Saturday,1
