transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,day_of_week,is_weekend,hour
TXN0000000001,2024-10-08 15:17:00,P2P,Entertainment,868,SUCCESS,Delhi,Axis,SBI,Android,4G,15,Tuesday,False,15
TXN0000000002,2024-04-11 06:56:00,P2M,Grocery,1011,SUCCESS,Uttar Pradesh,ICICI,Axis,iOS,4G,6,Thursday,False,6
TXN0000000003,2024-04-02 13:27:00,P2P,Grocery,477,SUCCESS,Karnataka,Yes Bank,PNB,Android,4G,13,Tuesday,False,13
TXN0000000004,2024-01-07 10:09:00,P2P,Fuel,2784,SUCCESS,Delhi,ICICI,PNB,Android,5G,10,Sunday,True,10
TXN0000000005,2024-01-23 19:04:00,P2P,Shopping,990,SUCCESS,Delhi,Axis,Yes Bank,iOS,WiFi,19,Tuesday,False,19
TXN0000000006,2024-10-07 22:32:00,P2P,Food,91,SUCCESS,Karnataka,IndusInd,Yes Bank,Android,3G,22,Monday,False,22
TXN0000000007,2024-02-08 10:25:00,P2P,Other,314,SUCCESS,Telangana,HDFC,IndusInd,Android,4G,10,Thursday,False,10
TXN0000000008,2024-10-27 18:47:00,P2P,Utilities,264,SUCCESS,Maharashtra,Yes Bank,SBI,Android,5G,18,Sunday,True,18
TXN0000000009,2024-11-21 09:39:00,P2P,Other,887,SUCCESS,Maharashtra,Kotak,HDFC,Android,4G,9,Thursday,False,9
TXN0000000010,2024-11-11 15:58:00,P2M,Grocery,3260,SUCCESS,Delhi,SBI,HDFC,Android,4G,15,Monday,False,15
TXN0000000011,2024-04-07 20:14:00,P2P,Food,587,SUCCESS,Karnataka,SBI,SBI,Android,4G,20,Sunday,True,20
TXN0000000012,2024-12-24 10:44:00,P2M,Other,518,SUCCESS,Gujarat,Yes Bank,SBI,Android,4G,10,Tuesday,False,10
TXN0000000013,2024-11-16 20:09:00,P2P,Transport,73,SUCCESS,Uttar Pradesh,Axis,Kotak,Android,4G,20,Saturday,True,20
TXN0000000014,2024-04-10 00:51:00,Bill Payment,Grocery,430,SUCCESS,Gujarat,Yes Bank,Yes Bank,Android,4G,0,Wednesday,False,0
TXN0000000015,2024-02-03 12:35:00,P2P,Transport,544,SUCCESS,Uttar Pradesh,IndusInd,Axis,Android,5G,12,Saturday,True,12
TXN0000000016,2024-11-09 15:21:00,P2M,Grocery,1346,SUCCESS,Rajasthan,SBI,SBI,Android,5G,15,Saturday,True,15
TXN0000000017,2024-01-25 07:27:00,P2P,Food,171,SUCCESS,Delhi,HDFC,SBI,Android,5G,7,Thursday,False,7
TXN0000000018,2024-05-19 18:38:00,P2M,Healthcare,189,SUCCESS,Gujarat,SBI,PNB,iOS,5G,18,Sunday,True,18
TXN0000000019,2024-11-11 22:08:00,P2P,Healthcare,799,SUCCESS,Karnataka,ICICI,SBI,Android,4G,22,Monday,False,22
TXN0000000020,2024-06-13 18:25:00,P2P,Utilities,450,SUCCESS,Tamil Nadu,Yes Bank,IndusInd,iOS,WiFi,18,Thursday,False,18
TXN0000000021,2024-05-19 10:41:00,Bill Payment,Food,1341,SUCCESS,Karnataka,SBI,ICICI,Android,WiFi,10,Sunday,True,10
TXN0000000022,2024-11-02 17:13:00,Recharge,Entertainment,280,SUCCESS,Maharashtra,SBI,PNB,Android,4G,17,Saturday,True,17
TXN0000000023,2024-10-18 04:35:00,P2P,Shopping,397,SUCCESS,Delhi,Axis,SBI,Android,5G,4,Friday,False,4
TXN0000000024,2024-01-21 07:57:00,P2M,Grocery,1847,SUCCESS,Gujarat,HDFC,Yes Bank,Android,5G,7,Sunday,True,7
TXN0000000025,2024-01-24 10:43:00,Bill Payment,Grocery,690,SUCCESS,Tamil Nadu,Yes Bank,PNB,iOS,5G,10,Wednesday,False,10
TXN0000000026,2024-07-01 12:01:00,Bill Payment,Entertainment,218,SUCCESS,Karnataka,Axis,Yes Bank,Android,4G,12,Monday,False,12
TXN0000000027,2024-08-28 21:10:00,P2P,Food,1276,SUCCESS,Karnataka,Kotak,HDFC,Android,5G,21,Wednesday,False,21
TXN0000000028,2024-11-09 18:49:00,P2P,Grocery,146,SUCCESS,Delhi,PNB,HDFC,iOS,4G,18,Saturday,True,18
TXN0000000029,2024-09-09 15:24:00,P2P,Grocery,1755,SUCCESS,Delhi,SBI,IndusInd,Web,WiFi,15,Monday,False,15
